Frame,Ball_X,Ball_Y,Ball_Vx,Ball_Vy,Ref_1_X,Ref_1_Y,Ref_2_X,Ref_2_Y,Ref_3_X,Ref_3_Y,GK_X,GK_Y,Player_1_X,Player_1_Y,Player_2_X,Player_2_Y,Player_3_X,Player_3_Y,Player_4_X,Player_4_Y,Player_5_X,Player_5_Y,Player_6_X,Player_6_Y,Player_7_X,Player_7_Y,Player_8_X,Player_8_Y,Player_9_X,Player_9_Y,Player_10_X,Player_10_Y,Player_11_X,Player_11_Y,Player_12_X,Player_12_Y,Player_13_X,Player_13_Y,Player_14_X,Player_14_Y,Player_15_X,Player_15_Y,Player_16_X,Player_16_Y,Player_17_X,Player_17_Y,Player_18_X,Player_18_Y,Player_19_X,Player_19_Y,Player_20_X,Player_20_Y,Player_21_X,Player_21_Y,Player_22_X,Player_22_Y
75,690,261,2,3,1858,1043,0,0,0,0,0,0,445,454,1755,410,1094,497,982,287,782,536,1267,416,1669,518,1404,768,418,398,379,593,479,390,782,373,878,397,1216,336,974,235,743,294,612,272,1557,323,708,220,780,230,937,241,685,154
76,692,264,2,3,1858,1043,0,0,0,0,0,0,446,452,1756,411,1092,497,982,288,779,535,1268,417,1670,519,1404,766,418,397,380,591,480,387,781,374,879,396,1218,337,971,237,741,294,613,272,1555,324,708,221,776,229,937,242,689,154
77,694,267,2,3,1856,1042,0,0,0,0,29,363,445,448,1756,412,1089,495,981,289,778,533,1269,418,1670,519,1405,766,420,393,381,586,481,384,779,374,879,396,1221,337,969,238,740,293,615,273,1555,324,708,222,772,230,936,242,677,154
78,696,270,2,3,1854,1043,0,0,0,0,0,0,445,447,1756,412,1087,493,981,291,780,531,1270,419,1669,519,1405,766,421,391,380,581,479,382,778,374,879,395,1225,338,968,237,740,292,615,273,1556,324,709,224,771,230,937,243,677,152
79,698,273,2,3,1851,1043,0,0,0,0,0,0,445,446,1758,412,1082,493,981,291,779,529,1269,419,1669,520,1405,766,419,390,377,579,480,380,777,373,880,393,1229,338,967,236,737,291,615,273,1557,324,708,225,769,231,937,243,679,152
80,700,276,2,3,1851,1042,0,0,0,0,0,0,443,446,1760,412,1079,492,979,290,777,527,1270,419,1671,518,1404,765,418,389,374,577,481,378,778,372,882,391,1231,337,966,236,733,291,615,274,1559,324,709,226,767,230,936,243,681,153
81,263,422,-437,146,1853,1042,0,0,0,0,0,0,441,445,1761,412,1074,492,978,290,773,527,1271,418,1670,517,1403,764,419,388,371,575,481,375,776,370,882,389,1235,337,964,235,730,293,612,274,1560,323,708,226,764,230,935,243,683,153
82,-174,568,-437,146,1853,1041,0,0,0,0,0,0,438,445,1762,412,1069,491,980,290,768,527,1273,418,1670,517,1405,762,419,387,373,572,478,373,774,369,883,388,1237,337,963,235,729,293,610,274,1560,325,707,226,761,229,935,244,686,154
83,-611,714,-437,146,1852,1041,0,0,0,0,62,360,436,442,1765,413,1068,490,980,290,764,526,1276,417,1670,516,1407,761,422,383,374,569,477,369,772,368,884,387,1240,337,961,237,725,289,610,274,1562,325,706,226,757,229,933,244,688,154
84,-1048,860,-437,146,1853,1039,676,148,0,0,67,357,437,440,1768,413,1067,489,979,289,761,525,1277,417,1672,517,1409,760,424,379,374,564,476,368,771,369,886,386,1242,336,960,237,724,289,611,272,1564,326,705,226,754,229,930,244,690,154
85,-1485,1006,-437,146,1851,1040,676,146,0,0,72,358,436,438,1771,414,1064,487,979,289,761,524,1279,417,1673,517,1410,758,425,376,374,560,477,367,768,368,887,385,1245,336,956,236,723,289,614,270,1566,325,704,226,751,228,929,243,693,154
86,-1922,1152,-437,146,0,0,0,0,0,0,0,0,435,435,1773,414,1061,487,979,289,760,522,1281,417,1673,518,1412,758,426,373,372,558,477,363,766,366,887,383,1248,337,954,236,720,286,614,270,1566,324,703,227,749,228,928,242,695,154
87,-2359,1298,-437,146,1852,1042,677,149,0,0,82,357,435,433,1776,414,1058,487,980,288,760,520,1283,417,1673,518,1413,757,426,371,370,556,477,361,766,366,889,383,1253,337,954,236,718,285,615,269,1569,324,701,228,747,225,928,243,697,155
88,-2796,1444,-437,146,1851,1043,678,147,0,0,87,356,433,433,1779,414,1053,487,981,289,758,519,1283,417,1673,518,1414,757,427,370,370,554,475,358,766,366,891,381,1256,337,952,236,717,284,616,269,1571,325,700,229,743,224,925,243,699,155
89,-3233,1590,-437,146,1852,1042,677,148,0,0,93,354,433,432,1782,414,1050,486,980,290,754,517,1283,417,1674,518,1414,756,429,368,370,550,473,356,766,364,893,380,1261,337,949,237,715,284,616,269,1573,325,699,229,741,224,923,243,701,156
90,-3670,1736,-437,146,1854,1041,678,146,0,0,97,353,432,430,1784,414,1049,485,982,289,752,517,1285,416,1676,516,1414,755,430,366,371,545,473,354,766,363,894,377,1265,335,948,236,714,283,616,268,1575,324,699,228,739,224,924,243,703,156
91,-4107,1882,-437,146,1852,1041,679,150,0,0,103,352,432,429,1787,414,1048,482,983,288,749,517,1288,415,1676,516,1417,754,431,364,371,541,471,352,764,362,896,376,1269,335,947,236,713,282,614,269,1578,325,699,229,736,224,924,243,706,156
92,-4544,2028,-437,146,1854,1042,679,145,0,0,108,351,431,428,1792,415,1044,482,983,289,748,516,1290,416,1677,515,1419,753,433,361,370,538,473,350,762,363,898,374,1273,335,945,237,713,281,612,269,1580,326,699,230,735,224,925,243,708,156
93,-4981,2174,-437,146,1854,1041,680,146,0,0,114,350,434,427,1795,415,1041,482,983,288,747,515,1293,415,1679,516,1421,752,435,359,369,537,475,347,761,363,900,373,1277,335,945,238,712,281,611,268,1582,327,703,230,733,223,925,242,710,157
94,-5418,2320,-437,146,1855,1042,681,145,0,0,71,337,434,426,1800,416,1039,482,984,288,747,513,1295,414,1681,516,1422,751,438,357,368,535,475,344,760,363,902,372,1280,335,945,236,710,279,613,268,1584,327,704,230,731,222,926,242,713,157
95,-5855,2466,-437,146,1855,1041,680,144,0,0,123,350,434,423,1803,416,1034,482,985,290,745,511,1295,417,1681,516,1424,751,439,356,368,533,474,341,759,362,903,370,1283,334,944,236,708,279,613,266,1586,327,703,231,726,222,925,242,715,157
